,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Tickets Sold Category
141,Horror,2016,28,479942549.0,54784636,491418185,Very Popular
142,Horror,2017,34,1039425572.0,115877974,1039425427,Very Popular
143,Horror,2018,34,901529308.0,100504925,901529177,Very Popular
144,Romantic Comedy,1995,16,297177737.0,68316713,612800916,Very Popular
145,Romantic Comedy,1996,19,427301022.0,96674429,867169628,Very Popular
146,Romantic Comedy,1997,22,297133612.0,64734983,580672798,Very Popular
147,Romantic Comedy,1998,14,500783066.0,106776765,957787582,Very Popular
148,Romantic Comedy,1999,23,722597811.0,142243650,1275925541,Very Popular
149,Romantic Comedy,2000,23,374478694.0,69476556,623204707,Very Popular
150,Romantic Comedy,2001,23,529130923.0,93486019,838569590,Very Popular
151,Romantic Comedy,2002,24,574879303.0,98946512,887550213,Very Popular
152,Romantic Comedy,2003,25,495065519.0,82100406,736440642,Very Popular
153,Romantic Comedy,2004,33,651589511.0,104925831,941184704,Very Popular
154,Romantic Comedy,2005,15,440435727.0,68710713,616335096,Very Popular
155,Romantic Comedy,2006,19,342785466.0,52333650,469432841,Very Popular
156,Romantic Comedy,2007,35,733929251.0,105730830,948405545,Very Popular
157,Romantic Comedy,2008,25,330849160.0,38856854,348545980,Very Popular
158,Romantic Comedy,2009,26,642370662.0,75508553,677311720,Very Popular
159,Romantic Comedy,2010,30,517406269.0,59285340,531789500,Very Popular
160,Romantic Comedy,2011,33,577791604.0,69473969,623181502,Very Popular
161,Romantic Comedy,2012,31,340203356.0,42739101,383369736,Very Popular
162,Romantic Comedy,2013,25,197247886.0,24261722,217627646,Very Popular
163,Romantic Comedy,2014,30,264693693.0,32398230,290612123,Very Popular
164,Romantic Comedy,2015,23,74106836.0,8790834,78853781,Very Popular
165,Romantic Comedy,2016,30,137209258.0,15669133,140552123,Very Popular
166,Romantic Comedy,2017,15,85994969.0,9586948,85994924,Very Popular
167,Romantic Comedy,2018,15,241016524.0,26869172,241016473,Very Popular
168,Musical,1996,2,2562599.0,579772,5200555,Popular
169,Musical,1997,5,114425007.0,24929194,223614870,Very Popular
170,Musical,1998,8,67210342.0,14330561,128545132,Very Popular
171,Musical,1999,8,23577029.0,4641144,41631062,Very Popular
172,Musical,2000,9,93372793.0,17323334,155390306,Very Popular
173,Musical,2001,7,69839373.0,12339107,110681790,Very Popular
174,Musical,2002,8,57571456.0,9909026,88883963,Very Popular
175,Musical,2003,6,169169167.0,28054586,251649636,Very Popular
176,Musical,2004,5,22364844.0,3601422,32304755,Very Popular
177,Musical,2005,7,81788548.0,12759520,114452894,Very Popular
178,Musical,2006,7,68195041.0,10411454,93390742,Very Popular
179,Musical,2007,11,255937558.0,36163584,324387348,Very Popular
180,Musical,2008,11,260176422.0,29103388,261057390,Very Popular
181,Musical,2009,10,39330920.0,4692206,42089088,Very Popular
182,Musical,2010,9,174481691.0,22108696,198315003,Very Popular
183,Musical,2011,4,84688775.0,9924084,89019033,Very Popular
184,Musical,2012,6,391900843.0,49233771,441626926,Very Popular
185,Musical,2013,6,357193074.0,43935184,394098600,Very Popular
186,Musical,2014,7,252182790.0,30866923,276876299,Very Popular
187,Musical,2015,8,68944880.0,7956106,71366271,Very Popular
188,Musical,2016,8,248894081.0,28773877,258101677,Very Popular
190,Musical,2018,9,417625409.0,46558012,417625368,Very Popular
191,Documentary,1995,9,81994311.0,18849263,169077889,Very Popular
192,Documentary,1996,7,6791655.0,1536569,13783024,Very Popular
193,Documentary,1997,9,10372500.0,2259800,20270406,Very Popular
194,Documentary,1998,12,85954501.0,18327179,164394796,Very Popular
195,Documentary,1999,25,88124882.0,17347407,155606241,Very Popular
196,Documentary,2000,42,127001363.0,23562383,211354576,Very Popular
197,Documentary,2001,25,21807044.0,3852823,34559822,Very Popular
198,Documentary,2002,31,71658170.0,12333577,110632186,Very Popular
199,Documentary,2003,53,91130211.0,15112777,135561610,Very Popular
200,Documentary,2004,89,235480966.0,37919594,340138758,Very Popular
201,Documentary,2005,99,165886230.0,25878321,232128539,Very Popular
202,Documentary,2006,111,102355386.0,15626720,140171678,Very Popular
203,Documentary,2007,109,70753270.0,10283847,92246108,Very Popular
204,Documentary,2008,126,87432868.0,11212195,100573389,Very Popular
205,Documentary,2009,93,187444087.0,23688746,212488052,Very Popular
206,Documentary,2010,116,93857579.0,11330455,101634181,Very Popular
207,Documentary,2011,135,82415597.0,9786934,87788798,Very Popular
208,Documentary,2012,149,132328422.0,16624104,149118213,Very Popular
209,Documentary,2013,160,49307450.0,6064807,54401319,Very Popular
210,Documentary,2014,152,88025980.0,10774221,96644762,Very Popular
211,Documentary,2015,143,65083771.0,7648965,68611216,Very Popular
212,Documentary,2016,158,50780120.0,5860728,52570730,Very Popular
213,Documentary,2017,148,44877018.0,5002945,44876417,Very Popular
214,Documentary,2018,142,107099307.0,11939660,107098750,Very Popular
215,Dark Comedy,1995,3,24185598.0,5559905,49872348,Very Popular
216,Dark Comedy,1996,3,2567371.0,580852,5210242,Popular
217,Dark Comedy,1997,5,37327594.0,8132372,72947377,Very Popular
218,Dark Comedy,1998,6,46315475.0,9875365,88582024,Very Popular
219,Dark Comedy,1999,9,101746444.0,20028824,179658551,Very Popular
220,Dark Comedy,2000,7,51210561.0,9501029,85224230,Very Popular
221,Dark Comedy,2001,3,57007068.0,10071918,90345104,Very Popular
222,Dark Comedy,2002,4,47766617.0,8221446,73746371,Very Popular
223,Dark Comedy,2003,2,56947540.0,9444035,84712994,Very Popular
224,Dark Comedy,2004,3,5277208.0,849791,7622625,Popular
225,Dark Comedy,2005,6,9517330.0,1484760,13318297,Very Popular
226,Dark Comedy,2006,5,32291174.0,4929948,44221634,Very Popular
227,Dark Comedy,2007,3,2456085.0,356987,3202173,Popular
228,Dark Comedy,2008,6,61625210.0,6905436,61941761,Very Popular
229,Dark Comedy,2009,9,54671157.0,7289484,65386671,Very Popular
230,Dark Comedy,2010,11,53218987.0,6745113,60503664,Very Popular
231,Dark Comedy,2011,11,35839668.0,4514637,40496294,Very Popular
232,Dark Comedy,2012,14,92522208.0,11623385,104261763,Very Popular
233,Dark Comedy,2013,12,188672454.0,23206939,208166243,Very Popular
234,Dark Comedy,2014,13,181517016.0,22217499,199290966,Very Popular
235,Dark Comedy,2015,13,74779827.0,8445027,75751892,Very Popular
236,Dark Comedy,2016,6,49182952.0,5536337,49660943,Very Popular
237,Dark Comedy,2017,10,61215946.0,6824518,61215926,Very Popular
238,Dark Comedy,2018,10,141282717.0,15750577,141282676,Very Popular
239,Western,1995,6,36538078.0,8399556,75344017,Very Popular
240,Western,1996,2,1118960.0,253157,2270818,Popular
241,Western,1999,1,491069.0,96667,867103,Unpopular
242,Western,2000,4,64719710.0,12007366,107706073,Very Popular
243,Western,2001,4,22389813.0,3955796,35483490,Very Popular
244,Western,2003,2,84453058.0,14005482,125629174,Very Popular
245,Western,2004,4,90475689.0,14569352,130687087,Very Popular
246,Western,2005,1,14873.0,2320,20810,Unpopular
247,Western,2006,2,584825.0,89285,800886,Unpopular
248,Western,2007,4,57964064.0,8293652,74394058,Very Popular
249,Western,2008,4,20317697.0,2270814,20369202,Very Popular
250,Western,2009,2,169906.0,19795,177561,Unpopular
251,Western,2010,3,92697737.0,10426173,93522772,Very Popular
252,Western,2011,2,84669662.0,9440622,84682379,Very Popular
253,Western,2012,2,106297399.0,13353944,119784878,Very Popular
